ds,y
,AAPL
2022-07-14,145.81866455078125
2022-07-15,147.48829650878906
2022-07-18,144.4436492919922
2022-07-19,148.30345153808594
2022-07-20,150.30703735351562
2022-07-21,152.57577514648438
2022-07-22,151.33828735351562
2022-07-25,150.21865844726562
2022-07-26,148.8927459716797
2022-07-27,153.9900665283203
2022-07-28,154.54006958007812
2022-07-29,159.60794067382812
2022-08-01,158.62576293945312
2022-08-02,157.15257263183594
2022-08-03,163.1632843017578
2022-08-04,162.84898376464844
2022-08-05,162.62278747558594
2022-08-08,162.1507110595703
2022-08-09,162.19989013671875
2022-08-10,166.44863891601562
2022-08-11,165.71099853515625
2022-08-12,169.26145935058594
2022-08-15,170.33348083496094
2022-08-16,170.1761474609375
2022-08-17,171.67103576660156
2022-08-18,171.2776641845703
2022-08-19,168.6910400390625
2022-08-22,164.80618286132812
2022-08-23,164.47177124023438
2022-08-24,164.76683044433594
2022-08-25,167.22560119628906
2022-08-26,160.92132568359375
2022-08-29,158.71826171875
2022-08-30,156.28904724121094
2022-08-31,154.62692260742188
2022-09-01,155.35470581054688
2022-09-02,153.2401580810547
2022-09-06,151.9812774658203
2022-09-07,153.3876495361328
2022-09-08,151.91241455078125
2022-09-09,154.7744140625
2022-09-12,160.7344512939453
2022-09-13,151.3026123046875
2022-09-14,152.74838256835938
2022-09-15,149.85687255859375
2022-09-16,148.21441650390625
2022-09-19,151.93206787109375
2022-09-20,154.3121795654297
2022-09-21,151.18460083007812
2022-09-22,150.2207794189453
2022-09-23,147.94888305664062
2022-09-26,148.28329467773438
2022-09-27,149.25694274902344
2022-09-28,147.3686065673828
2022-09-29,140.13002014160156
2022-09-30,135.9206085205078
2022-10-03,140.1004638671875
2022-10-04,143.6903076171875
2022-10-05,143.9853515625
2022-10-06,143.03135681152344
2022-10-07,137.7794189453125
2022-10-10,138.10397338867188
2022-10-11,136.68771362304688
2022-10-12,136.05825805664062
2022-10-13,140.63157653808594
2022-10-14,136.09764099121094
2022-10-17,140.0612030029297
2022-10-18,141.37904357910156
2022-10-19,141.48724365234375
2022-10-20,141.02500915527344
2022-10-21,144.8410186767578
2022-10-24,146.98501586914062
2022-10-25,149.8273468017578
2022-10-26,146.88665771484375
2022-10-27,142.41177368164062
2022-10-28,153.1713104248047
2022-10-31,150.81088256835938
2022-11-01,148.16525268554688
2022-11-02,142.63792419433594
2022-11-03,136.58937072753906
2022-11-04,136.32339477539062
2022-11-07,136.8553924560547
2022-11-08,137.42674255371094
2022-11-09,132.86553955078125
2022-11-10,144.68722534179688
2022-11-11,147.4751739501953
2022-11-14,146.07623291015625
2022-11-15,147.81008911132812
2022-11-16,146.57867431640625
2022-11-17,148.48001098632812
2022-11-18,149.04151916503906
2022-11-21,145.81028747558594
2022-11-22,147.94801330566406
2022-11-23,148.8247833251953
2022-11-25,145.90878295898438
2022-11-28,142.0766143798828
2022-11-29,139.07191467285156
2022-11-30,145.82994079589844
2022-12-01,146.10580444335938
2022-12-02,145.6132354736328
2022-12-05,144.45079040527344
2022-12-06,140.78607177734375
2022-12-07,138.84535217285156
2022-12-08,140.52993774414062
2022-12-09,140.04722595214844
2022-12-12,142.34259033203125
2022-12-13,143.30804443359375
2022-12-14,141.08160400390625
2022-12-15,134.47134399414062
2022-12-16,132.5109100341797
2022-12-19,130.40269470214844
2022-12-20,130.33377075195312
2022-12-21,133.4369354248047
2022-12-22,130.26480102539062
2022-12-23,129.90029907226562
2022-12-27,128.09750366210938
2022-12-28,124.16677856445312
2022-12-29,127.68375396728516
2022-12-30,127.99893188476562
2023-01-03,123.21119689941406
2023-01-04,124.48202514648438
2023-01-05,123.16194915771484
2023-01-06,127.69358825683594
2023-01-09,128.21571350097656
2023-01-10,128.78707885742188
2023-01-11,131.50608825683594
2023-01-12,131.42724609375
2023-01-13,132.75718688964844
2023-01-17,133.91964721679688
2023-01-18,133.20053100585938
2023-01-19,133.2595977783203
2023-01-20,135.8209686279297
2023-01-23,139.01283264160156
2023-01-24,140.4116973876953
